"Id","Name","ModuleNamespace","Description","BusinessProcessId","SobjectType","IsActive","CreatedById","CreatedDate","LastModifiedById","LastModifiedDate","SystemModstamp","IsDeleted"
"0120z0000005Q4OAAU","Volunteer Program Request","","","0190z0000008pB1AAI","Case","1","00538000004gsNsAAI","2018-08-08 13:39:34","00550000001WkUeAAK","2018-09-16 23:40:47","2018-09-16 23:40:47","0"
"0120z0000009gKAAAY","Corporate Partner","","","019500000004bW5AAI","Lead","1","00538000004gsNsAAI","2019-01-15 15:54:12","00538000004gsNsAAI","2019-01-15 15:54:12","2019-01-15 15:54:12","0"
"0120z000000gi2OAAQ","Career Seminar","","","","Campaign","0","00538000004gsNsAAI","2018-08-24 16:39:20","00538000004gsNsAAI","2019-01-09 15:00:31","2019-01-09 15:00:31","0"
"0120z000000gi5cAAA","Vendor","","","","Account","1","00538000004gsNsAAI","2018-10-17 16:35:58","00538000004gsNsAAI","2018-12-20 16:27:42","2018-12-20 16:27:42","0"
"012380000001uvxAAA","Development Partner","","These are inquiries coming in from the Partner form","019500000004bW5AAI","Lead","1","00538000004gsNsAAI","2017-06-01 12:53:36","00538000004gsNsAAI","2018-08-10 14:40:45","2018-08-10 14:40:45","0"
"012380000001v2eAAA","Webinar","","","","Campaign","1","00538000004gsNsAAI","2017-07-06 17:34:41","00538000004gsNsAAI","2019-01-11 13:23:08","2019-01-11 13:23:08","0"
"012380000005gY6AAI","Additional Service Needs Requests","","","019380000008udWAAQ","Case","1","00538000004gsNsAAI","2018-03-15 16:54:55","00538000004gsNsAAI","2018-08-07 16:16:56","2018-08-07 16:16:56","0"
"012380000005gavAAA","Independence Project","","","","01I38000000GN02","1","00538000004gsNsAAI","2018-03-30 15:06:30","00538000004gsNsAAI","2018-04-03 13:11:12","2018-04-03 13:11:12","0"
"012380000005gb0AAA","Career Readiness Fund","","","","01I38000000GN02","1","00538000004gsNsAAI","2018-03-30 15:49:15","00538000004gsNsAAI","2018-07-17 18:06:08","2018-07-17 18:06:08","0"
"012380000009vxkAAA","Volunteer","","For Hire Heroes Volunteer Form","019500000004bW5AAI","Lead","1","00538000004gsNsAAI","2015-11-05 19:23:05","00538000004gsNsAAI","2018-08-10 14:40:45","2018-08-10 14:40:45","0"
"012380000009vyEAAQ","Workshop","","A campaign used to track workshop participants","","Campaign","1","00538000004gsNsAAI","2015-11-10 17:33:37","00538000004gsNsAAI","2019-01-11 13:23:08","2019-01-11 13:23:08","0"
"012380000009w7GAAQ","Independence Project","","Veteran part of the Independence project","","Contact","1","00538000004gsNsAAI","2016-02-16 14:50:19","00538000004gsNsAAI","2019-01-14 13:55:30","2019-01-14 13:55:30","0"
"012380000009wBhAAI","Inquiry","","These are inquiries coming in from the Contact form","019500000004bW5AAI","Lead","1","00538000004gsNsAAI","2016-03-15 13:07:34","00538000004gsNsAAI","2018-08-10 14:40:45","2018-08-10 14:40:45","0"
"012380000009wC6AAI","Household Account","","An Account representing a Household containing one or more individuals","","Account","1","00538000004mA6VAAU","2016-03-21 19:14:28","00538000004gsNsAAI","2018-12-20 16:27:42","2018-12-20 16:27:42","0"
"012380000009wC7AAI","Organization","","An Account representing an organization","","Account","1","00538000004mA6VAAU","2016-03-21 19:14:31","00538000004gsNsAAI","2018-12-20 16:27:42","2018-12-20 16:27:42","0"
"012380000009wCLAAY","Event","","Campaign Event","","Campaign","1","00538000004mA6VAAU","2016-03-22 14:55:19","00538000004gsNsAAI","2019-01-11 13:23:08","2019-01-11 13:23:08","0"
"012380000009wCMAAY","General","","","","Campaign","1","00538000004mA6VAAU","2016-03-22 14:55:22","00538000004gsNsAAI","2019-01-11 13:23:08","2019-01-11 13:23:08","0"
"012380000009wCNAAY","Mailing List","","","","Campaign","1","00538000004mA6VAAU","2016-03-22 14:55:22","00538000004gsNsAAI","2019-01-11 13:23:08","2019-01-11 13:23:08","0"
"012380000009wCQAAY","Classy","","","","Account","1","00538000004mA6VAAU","2016-03-22 19:30:54","00538000004gsNsAAI","2018-12-20 16:27:42","2018-12-20 16:27:42","0"
"012380000009wCRAAY","Classy","","Default Record Type for Campaigns created via Classy","","Campaign","1","00538000004mA6VAAU","2016-03-22 19:30:56","00538000004gsNsAAI","2019-01-11 13:23:08","2019-01-11 13:23:08","0"
"012380000009wCSAAY","StayClassy","","Contact record added via Classy","","Contact","1","00538000004mA6VAAU","2016-03-22 19:30:56","00538000004gsNsAAI","2019-01-14 13:55:30","2019-01-14 13:55:30","0"
"012380000009wCTAAY","Default","","","01938000000D7hFAAS","Opportunity","1","00538000004mA6VAAU","2016-03-22 19:30:58","00538000004gsNsAAI","2018-11-07 09:33:23","2018-11-07 09:33:23","0"
"012380000009wCUAAY","Classy","","Data inserted via Classy","01938000000D7hFAAS","Opportunity","0","00538000004mA6VAAU","2016-03-22 19:30:58","00538000004gsNsAAI","2018-11-07 09:33:23","2018-11-07 09:33:23","0"
"012380000009wCVAAY","In-Kind","","Use this record type for In-Kind gifts","019500000004bW6AAI","Opportunity","1","00538000004mA6VAAU","2016-03-22 20:39:34","00538000004gsNsAAI","2018-05-17 17:41:44","2018-05-17 17:41:44","0"
"01238000000E8RTAA0","Fundraiser","","","","Campaign","1","00550000000z4FcAAI","2016-04-13 19:43:37","00538000004gsNsAAI","2019-01-11 13:23:08","2019-01-11 13:23:08","0"
"01238000000EASTAA4","Virtual Workshop","","","","Campaign","1","00538000004gsNsAAI","2017-09-21 14:46:27","00538000004gsNsAAI","2019-01-11 13:23:08","2019-01-11 13:23:08","0"
"01238000000EAyZAAW","AR","","AR - Argentina","","01I38000000CR11","1","00538000004gsNsAAI","2018-02-19 17:26:20","00538000004gsNsAAI","2018-02-19 17:26:20","2018-02-19 17:29:11","0"
"01238000000EAyaAAG","AT","","AT - Austria","","01I38000000CR11","1","00538000004gsNsAAI","2018-02-19 17:26:22","00538000004gsNsAAI","2018-02-19 17:26:22","2018-02-19 17:29:11","0"
"01238000000EAybAAG","AU","","AU - Australia","","01I38000000CR11","1","00538000004gsNsAAI","2018-02-19 17:26:22","00538000004gsNsAAI","2018-02-19 17:26:22","2018-02-19 17:29:11","0"
"01238000000EAycAAG","BE","","BE - Belgium","","01I38000000CR11","1","00538000004gsNsAAI","2018-02-19 17:26:22","00538000004gsNsAAI","2018-02-19 17:26:22","2018-02-19 17:29:11","0"
"01238000000EAydAAG","BR","","?BR - Brazil","","01I38000000CR11","1","00538000004gsNsAAI","2018-02-19 17:26:22","00538000004gsNsAAI","2018-02-19 17:26:22","2018-02-19 17:29:11","0"
"01238000000EAyeAAG","BS","","BS - Bahamas","","01I38000000CR11","1","00538000004gsNsAAI","2018-02-19 17:26:22","00538000004gsNsAAI","2018-02-19 17:26:22","2018-02-19 17:29:11","0"
"01238000000EAyfAAG","CA","","CA - Canada","","01I38000000CR11","1","00538000004gsNsAAI","2018-02-19 17:26:22","00538000004gsNsAAI","2018-02-19 17:26:22","2018-02-19 17:29:11","0"
"01238000000EAygAAG","CA(FSA)","","CA - Canadian (FSA)","","01I38000000CR11","1","00538000004gsNsAAI","2018-02-19 17:26:23","00538000004gsNsAAI","2018-02-19 17:26:23","2018-02-19 17:29:11","0"
"01238000000EAyhAAG","CO","","CO - Colombia","","01I38000000CR11","1","00538000004gsNsAAI","2018-02-19 17:26:23","00538000004gsNsAAI","2018-02-19 17:26:23","2018-02-19 17:29:11","0"
"01238000000EAyiAAG","DE","","DE - Germany","","01I38000000CR11","1","00538000004gsNsAAI","2018-02-19 17:26:23","00538000004gsNsAAI","2018-02-19 17:26:23","2018-02-19 17:29:11","0"
"01238000000EAyjAAG","DK","","DK - Denmark","","01I38000000CR11","1","00538000004gsNsAAI","2018-02-19 17:26:23","00538000004gsNsAAI","2018-02-19 17:26:23","2018-02-19 17:29:11","0"
"01238000000EAykAAG","ES","","ES - Spain","","01I38000000CR11","1","00538000004gsNsAAI","2018-02-19 17:26:23","00538000004gsNsAAI","2018-02-19 17:26:23","2018-02-19 17:29:11","0"
"01238000000EAylAAG","FI","","FI - Finland","","01I38000000CR11","1","00538000004gsNsAAI","2018-02-19 17:26:23","00538000004gsNsAAI","2018-02-19 17:26:23","2018-02-19 17:29:11","0"
"01238000000EAymAAG","FR","","FR - France","","01I38000000CR11","1","00538000004gsNsAAI","2018-02-19 17:26:23","00538000004gsNsAAI","2018-02-19 17:26:23","2018-02-19 17:29:11","0"
"01238000000EAynAAG","GB","","GB - United Kingdom","","01I38000000CR11","1","00538000004gsNsAAI","2018-02-19 17:26:23","00538000004gsNsAAI","2018-02-19 17:26:23","2018-02-19 17:29:11","0"
"01238000000EAyoAAG","IE","","IE - Ireland","","01I38000000CR11","1","00538000004gsNsAAI","2018-02-19 17:26:24","00538000004gsNsAAI","2018-02-19 17:26:24","2018-02-19 17:29:11","0"
"01238000000EAypAAG","IN","","IN - India","","01I38000000CR11","1","00538000004gsNsAAI","2018-02-19 17:26:24","00538000004gsNsAAI","2018-02-19 17:26:24","2018-02-19 17:29:11","0"
"01238000000EAyqAAG","JP","","JP - Japan","","01I38000000CR11","1","00538000004gsNsAAI","2018-02-19 17:26:24","00538000004gsNsAAI","2018-02-19 17:26:24","2018-02-19 17:29:11","0"
"01238000000EAyrAAG","MX","","MX - Mexico","","01I38000000CR11","1","00538000004gsNsAAI","2018-02-19 17:26:24","00538000004gsNsAAI","2018-02-19 17:26:24","2018-02-19 17:29:11","0"
"01238000000EAysAAG","NO","","NO - Norway","","01I38000000CR11","1","00538000004gsNsAAI","2018-02-19 17:26:24","00538000004gsNsAAI","2018-02-19 17:26:24","2018-02-19 17:29:11","0"
"01238000000EAytAAG","PE","","PE - Peru","","01I38000000CR11","1","00538000004gsNsAAI","2018-02-19 17:26:24","00538000004gsNsAAI","2018-02-19 17:26:24","2018-02-19 17:29:11","0"
"01238000000EAyuAAG","PR","","PR - Puerto Rico","","01I38000000CR11","1","00538000004gsNsAAI","2018-02-19 17:26:24","00538000004gsNsAAI","2018-02-19 17:26:24","2018-02-19 17:29:11","0"
"01238000000EAyvAAG","SE","","SE - Sweden","","01I38000000CR11","1","00538000004gsNsAAI","2018-02-19 17:26:24","00538000004gsNsAAI","2018-02-19 17:26:24","2018-02-19 17:29:11","0"
"01238000000EAywAAG","US","","US - United States","","01I38000000CR11","1","00538000004gsNsAAI","2018-02-19 17:26:24","00538000004gsNsAAI","2018-02-19 17:26:24","2018-02-19 17:29:11","0"
"01238000000EB4OAAW","Virtual Career Fair","","","","Campaign","1","00538000004gsNsAAI","2018-03-01 16:40:01","00538000004gsNsAAI","2019-01-11 13:23:08","2019-01-11 13:23:08","0"
"01238000000UVb5AAG","Outreach Requests","","","01950000000LJ3sAAG","Case","0","00538000004gsNsAAI","2016-09-19 12:30:34","00538000004gsNsAAI","2018-09-15 19:23:46","2018-09-15 19:23:46","0"
"01238000000UVfWAAW","Contact","","This is the master record type for any contact interacting with HHUSA","","Contact","1","00538000004gsNsAAI","2016-11-01 12:13:51","00538000004gsNsAAI","2019-01-14 13:55:30","2019-01-14 13:55:30","0"
"01238000000UVulAAG","Veteran Client","","These are leads coming in from the various Veteran Client and Military Spouse registration pages.","019500000004bW5AAI","Lead","1","00538000004gsNsAAI","2017-01-10 13:13:34","00538000004gsNsAAI","2018-08-10 14:40:45","2018-08-10 14:40:45","0"
"01238000000UW0UAAW","Federal Requests","","","01938000000PWanAAG","Case","1","00538000004gsNsAAI","2017-02-21 17:41:25","00538000004gsNsAAI","2018-08-07 16:16:56","2018-08-07 16:16:56","0"
"01238000000UWJCAA4","Workshop Registration","","","01938000000D7hFAAS","Opportunity","1","00538000004gsNsAAI","2017-04-18 16:32:56","00538000004gsNsAAI","2018-05-17 17:41:44","2018-05-17 17:41:44","0"
"01238000000UWJHAA4","Credit Adjustment","","Represents an adjustments to the credit received by a campaign, fundraising page, or team","","01I38000000VWUH","1","00538000004gsNsAAI","2017-04-23 13:28:13","00538000004gsNsAAI","2017-04-23 13:28:13","2017-04-23 13:30:18","0"
"01238000000UWJIAA4","Matched Gift","","Indicates a gift matched from a related transaction","","01I38000000VWUH","1","00538000004gsNsAAI","2017-04-23 13:28:14","00538000004gsNsAAI","2017-04-23 13:28:14","2017-04-23 13:30:18","0"
"01238000000UWJJAA4","Transfer","","Indicates a transfer from an external system that is otherwise unrepresented in Classy","","01I38000000VWUH","1","00538000004gsNsAAI","2017-04-23 13:28:14","00538000004gsNsAAI","2017-04-23 13:28:14","2017-04-23 13:30:18","0"
"012500000000r6BAAQ","Potential Employer","","These are leads coming in from the Contact Us Page of the Hire Heroes USa website, or ones manually entered as leads.","019500000004bW5AAI","Lead","1","00550000000xADhAAM","2007-03-27 11:12:47","00538000004gsNsAAI","2018-08-10 14:40:45","2018-08-10 14:40:45","0"
"012500000000r6CAAQ","MajorGift","","Use this record type for major gift initiatives","019500000004bW8AAI","Opportunity","0","00550000000xADhAAM","2007-03-27 11:12:47","00538000004gsNsAAI","2018-05-17 17:41:44","2018-05-17 17:41:44","0"
"012500000000r6DAAQ","Membership","","Use this record type for memberships","019500000004bW6AAI","Opportunity","0","00550000000xADhAAM","2007-03-27 11:12:47","00538000004gsNsAAI","2018-05-17 17:41:44","2018-05-17 17:41:44","0"
"012500000000r6EAAQ","Donation","","Use this record type for standard donations","019500000004bW6AAI","Opportunity","1","00550000000xADhAAM","2007-03-27 11:12:47","00538000004gsNsAAI","2018-10-15 16:04:58","2018-10-15 16:04:58","0"
"012500000000r6FAAQ","MatchingDonation","","Use this record type for matching donations","019500000004bW6AAI","Opportunity","0","00550000000xADhAAM","2007-03-27 11:12:47","00538000004gsNsAAI","2018-05-17 17:41:44","2018-05-17 17:41:44","0"
"012500000000r6HAAQ","Grant","","Use this record type for grant applications","019500000004bW7AAI","Opportunity","1","00550000000xADhAAM","2007-03-27 11:12:47","00538000004gsNsAAI","2018-05-17 17:41:44","2018-05-17 17:41:44","0"
"012500000000r6IAAQ","Individual","","represents a single contact record","","Account","1","00550000000xADhAAM","2007-03-27 11:12:47","00538000004gsNsAAI","2018-12-20 16:27:42","2018-12-20 16:27:42","0"
"012500000000r6JAAQ","Business","","Use this record type for corporations or small businesses","","Account","1","00550000000xADhAAM","2007-03-27 11:12:47","00538000004gsNsAAI","2018-12-20 16:27:42","2018-12-20 16:27:42","0"
"012500000000r6KAAQ","Foundation","","Use this record type for foundation entities","","Account","1","00550000000xADhAAM","2007-03-27 11:12:47","00538000004gsNsAAI","2018-12-20 16:27:42","2018-12-20 16:27:42","0"
"012500000000r6LAAQ","Nonprofit","","Use this record type for nonprofit entities","","Account","1","00550000000xADhAAM","2007-03-27 11:12:47","00538000004gsNsAAI","2018-12-20 16:27:42","2018-12-20 16:27:42","0"
"012500000000r6MAAQ","Government","","Use this record type for government agencies (federal, local or state)","","Account","1","00550000000xADhAAM","2007-03-27 11:12:47","00538000004gsNsAAI","2018-12-20 16:27:42","2018-12-20 16:27:42","0"
"012500000000tO2AAI","Candidate","","","","Account","0","00550000000xADhAAM","2007-05-29 22:44:43","00538000004gsNsAAI","2018-12-20 15:33:33","2018-12-20 15:33:33","0"
"0125000000017SNAAY","Donor","","These are financial contributors","","Contact","0","00550000000z4FcAAI","2008-06-24 16:09:32","00538000004gsNsAAI","2018-11-29 13:18:10","2018-11-29 13:18:10","0"
"0125000000018bHAAQ","Newsletter Sign Up","","These individuals checked to sign up for our newsletter on the website","019500000004bW5AAI","Lead","1","00550000000z4FcAAI","2008-08-13 18:19:15","00538000004gsNsAAI","2018-09-24 13:11:16","2018-09-24 13:11:16","0"
"01250000000HZ2JAAW","Internal Ideas: Idea Record Type","","Record Type used to associate ideas with a specific community","","Idea","1","00550000000xADhAAM","2008-05-18 04:41:47","00550000000xADhAAM","2008-05-18 04:41:47","2008-05-18 04:41:47","0"
"01250000000LtPvAAK","City of Refuge","","Veterans help through project with City of Refuge - Atlanta","","Account","0","00550000001Wb4NAAS","2011-10-17 19:08:09","00538000004gsNsAAI","2018-12-20 15:33:34","2018-12-20 15:33:34","0"
"01250000000LunnAAC","Default","","The default campaign record type to use for new campaigns","","Campaign","1","00550000000ztRtAAI","2012-05-16 16:33:24","00538000004gsNsAAI","2019-01-11 13:23:08","2019-01-11 13:23:08","0"
"01250000000LunsAAC","Volunteer Campaign","","A campaign specifically used to track Volunteers","","Campaign","1","00550000000z4FcAAI","2012-05-16 16:38:58","00538000004gsNsAAI","2019-01-11 13:23:08","2019-01-11 13:23:08","0"
"01250000000LwZiAAK","Default","","This is the Default record type","","Task","1","00550000002Ccz4AAC","2015-02-24 19:51:00","00538000004gsNsAAI","2017-11-28 12:49:05","2017-11-28 12:49:05","0"
"01250000000LwxVAAS","IT Requests","","","01950000000LJ3nAAG","Case","1","00550000002Ccz4AAC","2015-07-02 13:38:32","00538000004gsNsAAI","2018-08-07 16:16:56","2018-08-07 16:16:56","0"
"01250000000LwxaAAC","Private Sector Vol Requests","","","01950000000LJ3sAAG","Case","0","00550000000ztRtAAI","2015-07-08 15:46:41","00538000004gsNsAAI","2018-09-15 19:23:33","2018-09-15 19:23:33","0"
